begintrip_at,begintrip_lat,begintrip_lng,dropoff_lat,dropoff_lng,uid
2015-02-19_16:45:46,36.1778,-86.687,36.1702,-86.6878,ce4
2015-02-28_21:32:11,36.1709,-86.677,36.1711,-86.6983,152
2015-02-20_02:36:09,36.166,-86.7416,36.1693,-86.7529,b8a
2015-02-24_04:03:06,36.1664,-86.755,36.1555,-86.7635,ce4
2015-02-12_04:21:39,36.1731,-86.68,36.1764,-86.6941,132
2015-02-22_22:32:55,36.17,-86.7429,36.1788,-86.6874,670
2015-02-20_03:20:28,36.1686,-86.6989,36.1736,-86.6918,9de
2015-02-07_04:51:04,36.176,-86.6772,36.1679,-86.7028,570
2015-02-28_11:55:40,36.1684,-86.7489,36.1898,-86.7624,636
2015-02-21_05:53:47,36.156,-86.7321,36.1763,-86.6767,8ec
2015-02-07_21:14:27,36.1602,-86.7019,36.1559,-86.728,b2e
2015-02-27_00:51:46,36.1727,-86.692,36.1842,-86.6668,2b2
2015-02-21_23:29:58,36.1634,-86.7004,36.1784,-86.671,be6
2015-02-07_18:33:24,36.1695,-86.7482,36.1781,-86.7067,848
2015-02-21_19:54:19,36.1566,-86.7263,36.156,-86.7315,012
2015-02-22_00:18:45,36.1556,-86.7237,36.1709,-86.7455,f46
2015-02-25_01:41:50,36.1725,-86.7414,36.1564,-86.6643,30a
2015-02-06_12:42:19,36.1784,-86.6997,36.1806,-86.6832,c24
2015-02-07_07:22:20,36.1565,-86.7316,36.1674,-86.7142,fcc
2015-02-26_14:41:20,36.1653,-86.7016,36.1736,-86.6976,b44
2015-02-14_05:42:17,36.19,-86.7108,36.1829,-86.6918,fe0
2015-02-07_07:17:03,36.1558,-86.7254,36.1689,-86.7461,232
2015-02-15_02:01:35,36.1557,-86.7238,36.165,-86.7003,50e
2015-02-15_17:56:11,36.1669,-86.6888,36.1711,-86.6937,778
2015-02-19_00:24:17,36.1682,-86.7548,36.1916,-86.7025,aea
2015-02-25_18:37:55,36.1723,-86.6972,36.1769,-86.6877,d46
2015-02-14_18:07:07,36.1602,-86.6652,36.1623,-86.7517,6fe
2015-02-22_06:52:35,36.1669,-86.7528,36.1723,-86.7738,f4c
2015-02-14_07:29:32,36.155,-86.7164,36.18,-86.7643,ec8
2015-02-11_01:37:31,36.1551,-86.7117,36.1712,-86.7339,74e
2015-02-20_04:50:21,36.1613,-86.6973,36.1617,-86.6973,928
2015-02-27_15:18:26,36.161,-86.7069,36.1678,-86.7496,9ec
2015-02-21_00:03:28,36.1736,-86.7524,36.1683,-86.7496,324
2015-02-14_05:41:23,36.1748,-86.7368,36.1806,-86.6737,0d0
2015-02-16_12:57:08,36.1683,-86.7492,36.1732,-86.7519,e94
2015-02-12_00:15:29,36.1787,-86.7313,36.1668,-86.741,12c
2015-02-17_01:44:13,36.183,-86.7679,36.169,-86.7013,6ec
2015-02-15_01:29:07,36.1723,-86.6923,36.158,-86.6884,b7c
2015-02-21_03:59:32,36.1699,-86.7434,36.153,-86.728,6b2
2015-02-10_23:10:39,36.1697,-86.7016,36.1595,-86.6655,504
2015-02-08_01:24:32,36.1709,-86.6766,36.163,-86.6653,de6
2015-02-20_03:20:08,36.1687,-86.7009,36.1708,-86.7081,b44
2015-02-13_03:05:08,36.1689,-86.7512,36.164,-86.7294,03e
2015-02-25_23:16:45,36.1803,-86.7437,36.1695,-86.7476,64a
2015-02-01_20:06:31,36.1812,-86.6782,36.1727,-86.6798,dae
2015-02-02_22:38:47,36.1903,-86.7093,36.1711,-86.6869,b10
2015-02-21_03:35:55,36.1804,-86.6987,36.1696,-86.7472,c2c
2015-02-28_05:31:09,36.1765,-86.7331,36.1926,-86.6666,65a
2015-02-21_06:15:06,36.1716,-86.763,36.168,-86.6826,f96
2015-02-14_04:21:53,36.1569,-86.7223,36.1732,-86.7546,26e
2015-02-22_14:51:14,36.1669,-86.7032,36.1709,-86.7113,7f6
2015-02-11_04:21:04,36.1778,-86.6871,36.1741,-86.7095,b2e
2015-02-13_21:02:25,36.1831,-86.6693,36.1717,-86.6865,ef8
2015-02-15_09:40:37,36.1568,-86.7377,36.1557,-86.7146,5e0
2015-02-18_00:06:58,36.1783,-86.7271,36.1669,-86.7531,9e2
2015-02-26_15:51:12,36.1784,-86.7567,36.1673,-86.7523,50e
2015-02-15_02:03:10,36.1878,-86.676,36.1577,-86.7223,11a
2015-02-02_00:57:25,36.1559,-86.7296,36.1553,-86.6838,2c0
2015-02-22_06:26:52,36.1641,-86.7502,36.1517,-86.7217,e2c
2015-02-21_14:42:00,36.1593,-86.6706,36.1557,-86.6685,a46
2015-02-26_14:37:56,36.1631,-86.7374,36.1664,-86.7357,4ee
2015-02-01_06:56:34,36.1763,-86.7329,36.1808,-86.6851,758
2015-02-10_16:13:56,36.1732,-86.6867,36.1789,-86.6974,5e0
2015-02-28_23:16:50,36.1756,-86.7331,36.1828,-86.6713,ea6
2015-02-11_07:05:20,36.2011,-86.7008,36.1629,-86.7281,bba
2015-02-24_01:43:47,36.1675,-86.7523,36.1697,-86.7449,a1a
2015-02-02_03:32:45,36.1776,-86.6628,36.1801,-86.6618,864
2015-02-12_01:32:48,36.1553,-86.7104,36.1682,-86.7521,7a0
2015-02-23_23:39:33,36.1737,-86.6542,36.1571,-86.6647,66e
2015-02-15_08:18:38,36.1717,-86.6938,36.1688,-86.6707,c80
2015-02-14_22:56:25,36.1678,-86.6832,36.1785,-86.6886,966
2015-02-26_13:16:26,36.1697,-86.745,36.1669,-86.7524,18a
2015-02-14_23:15:11,36.1664,-86.7348,36.155,-86.7119,7f6
2015-02-07_16:57:54,36.1706,-86.6629,36.1638,-86.6653,6f8
2015-02-07_01:59:56,36.1779,-86.6965,36.1804,-86.6724,cae
2015-02-24_04:04:32,36.1745,-86.6778,36.1713,-86.6856,52c
2015-02-08_00:27:30,36.1538,-86.6872,36.1557,-86.7112,e78
2015-02-16_04:51:47,36.1725,-86.7735,36.1695,-86.7449,a02
2015-02-22_06:10:33,36.1558,-86.7339,36.1674,-86.7576,56a
2015-02-08_00:33:51,36.1664,-86.6803,36.166,-86.7539,03e
2015-02-14_03:16:03,36.1655,-86.7491,36.1624,-86.7374,89e
2015-02-19_00:13:42,36.1676,-86.749,36.1725,-86.7735,c5c
2015-02-27_03:34:58,36.1711,-86.7066,36.1659,-86.751,f7c
2015-02-22_02:23:54,36.1705,-86.7069,36.1755,-86.6981,f56
2015-02-08_06:29:06,36.1781,-86.6675,36.1709,-86.7421,d4a
2015-02-15_18:19:42,36.1767,-86.6712,36.1783,-86.6925,d52
2015-02-28_04:50:35,36.1726,-86.6921,36.168,-86.6826,94a
2015-02-06_22:48:49,36.1593,-86.7639,36.176,-86.6775,9ec
2015-02-22_18:15:20,36.1737,-86.695,36.17,-86.687,158
2015-02-21_05:49:03,36.1592,-86.7669,36.1643,-86.7761,2aa
2015-02-26_03:57:55,36.1648,-86.7369,36.1807,-86.6678,bca
2015-02-03_14:55:26,36.179,-86.6755,36.1521,-86.7084,a66
2015-02-27_19:32:53,36.1674,-86.7561,36.1945,-86.7123,908
2015-02-15_00:08:28,36.1659,-86.6981,36.1728,-86.7546,a38
2015-02-12_12:38:04,36.1695,-86.7446,36.1652,-86.7562,c48
2015-02-01_14:04:18,36.1723,-86.7415,36.1588,-86.7582,ba6
2015-02-13_23:43:01,36.169,-86.7025,36.1799,-86.6881,5cc
2015-02-08_04:11:18,36.1689,-86.7528,36.162,-86.7872,2ec
2015-02-19_13:37:06,36.1656,-86.6973,36.173,-86.6942,9c6
2015-02-28_03:57:03,36.1559,-86.7311,36.152,-86.7374,e78
2015-02-04_02:24:37,36.167,-86.7032,36.1808,-86.6953,4ea
2015-02-10_00:44:59,36.1722,-86.6866,36.1709,-86.7089,622
2015-02-18_06:13:58,36.156,-86.7312,36.1516,-86.7598,698
2015-02-23_03:30:34,36.1674,-86.6859,36.1572,-86.7315,970
2015-02-14_19:35:00,36.1519,-86.7217,36.1623,-86.7363,9b6
2015-02-28_04:36:54,36.1699,-86.7465,36.18,-86.6577,71e
2015-02-13_04:31:38,36.1656,-86.6959,36.171,-86.7088,67c
2015-02-28_07:03:31,36.1673,-86.7013,36.1679,-86.716,04a
2015-02-20_10:24:27,36.1725,-86.7737,36.1678,-86.6831,260
2015-02-19_15:55:48,36.1727,-86.7738,36.2001,-86.7614,9e2
2015-02-09_18:29:43,36.1809,-86.6567,36.1762,-86.6768,d5a
2015-02-06_03:36:51,36.1668,-86.6861,36.1557,-86.6665,488
2015-02-22_13:30:13,36.154,-86.7352,36.1701,-86.7447,de6
2015-02-20_21:53:06,36.1698,-86.7509,36.1868,-86.6954,a94
2015-02-08_05:55:21,36.1559,-86.7339,36.1558,-86.7115,d22
2015-02-18_01:04:31,36.1734,-86.6902,36.1709,-86.6767,65e
2015-02-14_02:21:07,36.1667,-86.7499,36.172,-86.7734,f08
2015-02-24_18:25:19,36.1924,-86.7817,36.1594,-86.7543,38c
2015-02-06_10:31:29,36.1604,-86.6986,36.1616,-86.7369,60a
2015-02-24_02:02:41,36.176,-86.6783,36.1763,-86.75,07e
2015-02-06_07:25:16,36.1559,-86.7325,36.167,-86.7468,1c0
2015-02-18_01:03:19,36.1673,-86.7524,36.1666,-86.7469,658
2015-02-25_23:34:05,36.1743,-86.6954,36.1664,-86.6962,e1c
2015-02-16_02:45:54,36.1637,-86.7695,36.1673,-86.7523,fca
2015-02-20_06:11:42,36.1684,-86.7008,36.1615,-86.708,084
2015-02-07_04:35:06,36.1654,-86.7021,36.1559,-86.7271,990
2015-02-13_22:26:26,36.1592,-86.7668,36.1553,-86.7287,e28
2015-02-25_14:28:15,36.1662,-86.743,36.1652,-86.7539,5d0
2015-02-19_16:57:26,36.17,-86.688,36.1595,-86.7106,14a
2015-02-27_23:38:18,36.1793,-86.6772,36.1768,-86.6709,290
2015-02-24_01:20:19,36.1619,-86.6646,36.1505,-86.6771,fb2
2015-02-28_06:11:41,36.1559,-86.7285,36.1762,-86.6768,ae0
2015-02-12_13:37:22,36.1856,-86.6498,36.1826,-86.6872,5fc
2015-02-26_15:01:30,36.1524,-86.7609,36.1654,-86.7545,1c6
2015-02-08_02:17:21,36.1863,-86.6959,36.1669,-86.6818,1be
2015-02-17_15:49:11,36.1513,-86.7209,36.1825,-86.6645,248
2015-02-13_02:13:26,36.1676,-86.7042,36.1676,-86.7045,928
2015-02-20_06:03:32,36.1806,-86.6738,36.188,-86.6899,5f0
2015-02-24_15:07:29,36.1508,-86.75,36.1654,-86.7546,c92
2015-02-14_05:52:06,36.1549,-86.7118,36.1891,-86.7295,254
2015-02-07_12:37:29,36.179,-86.7001,36.1643,-86.6655,41c
2015-02-03_23:59:55,36.17,-86.6713,36.1671,-86.6896,4ee
2015-02-07_04:50:18,36.1591,-86.7669,36.1669,-86.7513,12e
2015-02-18_04:28:38,36.1553,-86.7105,36.1555,-86.7189,e08
2015-02-28_23:08:32,36.1744,-86.6773,36.1975,-86.6586,b3a
2015-02-20_23:18:16,36.1667,-86.7037,36.169,-86.7449,7b0
2015-02-13_04:57:33,36.1536,-86.7121,36.156,-86.7309,a36
2015-02-13_17:46:51,36.1585,-86.6993,36.1675,-86.698,2c0
2015-02-02_03:27:37,36.1775,-86.6855,36.1783,-86.6902,4be
2015-02-12_18:19:36,36.151,-86.7267,36.1642,-86.7395,c74
2015-02-06_23:14:44,36.171,-86.6869,36.1813,-86.6863,c2e
2015-02-24_03:18:42,36.1924,-86.7075,36.1973,-86.7061,d8a
2015-02-26_14:02:57,36.171,-86.6753,36.1673,-86.691,fee
2015-02-21_01:11:56,36.1713,-86.6751,36.1823,-86.6677,95e
2015-02-21_22:36:34,36.1575,-86.6753,36.1704,-86.7455,d76
2015-02-12_00:54:53,36.1674,-86.7444,36.1819,-86.6615,38e
2015-02-22_06:57:40,36.1558,-86.7326,36.1645,-86.7295,e06
2015-02-12_19:49:10,36.1696,-86.7422,36.1637,-86.7427,9e6
2015-02-15_02:18:48,36.1723,-86.693,36.1673,-86.691,a52
2015-02-05_15:47:34,36.1898,-86.7294,36.1766,-86.7329,bca
2015-02-21_05:36:01,36.174,-86.6759,36.1758,-86.6772,b1a
2015-02-20_02:10:13,36.1652,-86.7008,36.1713,-86.706,862
2015-02-10_03:03:18,36.1667,-86.6863,36.1643,-86.672,7ce
2015-02-11_22:32:51,36.166,-86.7469,36.1725,-86.7735,b3c
2015-02-06_21:49:01,36.1672,-86.7037,36.1683,-86.6816,8bc
2015-02-08_00:37:40,36.1787,-86.7,36.1677,-86.7522,ac4
2015-02-01_06:26:55,36.1571,-86.7364,36.1957,-86.7233,fc2
2015-02-03_16:14:23,36.1676,-86.703,36.1683,-86.7491,106
2015-02-22_00:00:16,36.1518,-86.7273,36.1549,-86.7303,1e8
2015-02-14_07:06:02,36.1625,-86.6653,36.1834,-86.6652,b80
2015-02-20_05:24:53,36.1694,-86.7483,36.188,-86.7081,058
2015-02-26_15:27:37,36.1724,-86.6932,36.1698,-86.689,7d8
2015-02-11_19:36:21,36.1663,-86.7474,36.1876,-86.7818,070
2015-02-18_19:52:44,36.1801,-86.663,36.1717,-86.6667,202
2015-02-08_06:06:14,36.156,-86.731,36.1663,-86.7465,7c6
2015-02-06_22:53:56,36.1723,-86.693,36.1812,-86.6781,39c
2015-02-22_20:20:11,36.179,-86.7311,36.1652,-86.7401,b5e
2015-02-21_17:21:46,36.1664,-86.7347,36.1681,-86.7298,e6e
2015-02-21_13:28:11,36.1617,-86.7021,36.1641,-86.7027,af0
2015-02-28_01:16:32,36.1844,-86.6676,36.1697,-86.6711,dce
2015-02-01_06:45:52,36.1553,-86.7204,36.164,-86.7728,dfe
2015-02-26_05:08:29,36.1674,-86.6859,36.1811,-86.6743,ab6
2015-02-21_14:26:18,36.17,-86.6866,36.17,-86.7427,226
2015-02-01_04:28:51,36.1496,-86.7088,36.156,-86.7326,26c
2015-02-03_17:43:29,36.1663,-86.7113,36.1519,-86.7543,06c
2015-02-16_06:27:58,36.156,-86.735,36.1725,-86.7735,0a6
2015-02-20_02:00:23,36.1778,-86.6871,36.1699,-86.7003,b2e
2015-02-23_19:49:50,36.177,-86.6743,36.1701,-86.704,5a8
2015-02-28_04:26:10,36.156,-86.7326,36.1646,-86.7036,2c8
2015-02-04_17:50:26,36.1669,-86.6886,36.1722,-86.6962,ba0
2015-02-04_17:55:31,36.1776,-86.6936,36.1704,-86.6872,ff6
2015-02-20_15:16:09,36.1608,-86.7565,36.1659,-86.7413,6ca
2015-02-20_21:12:09,36.1663,-86.7348,36.1677,-86.7019,fbe
2015-02-13_19:48:47,36.1658,-86.7545,36.1899,-86.7624,112
2015-02-06_07:56:00,36.1673,-86.6909,36.1774,-86.6856,4e2
2015-02-21_06:17:35,36.157,-86.7326,36.1625,-86.7363,27c
2015-02-01_07:21:44,36.1545,-86.7361,36.1553,-86.7105,108
2015-02-13_02:32:36,36.1549,-86.7249,36.1559,-86.7345,fde
2015-02-01_20:36:52,36.1784,-86.692,36.1826,-86.7209,e98
2015-02-27_02:05:59,36.1656,-86.6914,36.1802,-86.6742,9b4
2015-02-26_22:43:21,36.1671,-86.7471,36.18,-86.6577,0c8
2015-02-19_12:24:08,36.1864,-86.6629,36.1866,-86.6632,504
2015-02-07_03:29:18,36.1531,-86.7118,36.1774,-86.7552,892
2015-02-11_02:26:51,36.1737,-86.7382,36.1693,-86.7526,800
2015-02-01_09:13:03,36.171,-86.742,36.1761,-86.6771,02a
2015-02-13_02:58:23,36.1781,-86.7288,36.1907,-86.7878,446
2015-02-08_21:12:26,36.1826,-86.7209,36.1664,-86.7348,6b6
2015-02-15_15:53:26,36.1742,-86.6748,36.1675,-86.6855,75a
2015-02-19_03:39:39,36.1905,-86.7013,36.1859,-86.6834,930
2015-02-28_08:36:31,36.1633,-86.7003,36.1661,-86.7151,c5e
2015-02-14_14:23:29,36.1909,-86.7374,36.1539,-86.7289,bec
2015-02-14_07:00:36,36.201,-86.7009,36.1731,-86.6942,0a4
2015-02-17_14:14:19,36.1652,-86.7082,36.1708,-86.6936,488
2015-02-10_18:05:31,36.1527,-86.6826,36.1596,-86.7113,8d2
2015-02-23_15:58:56,36.1835,-86.6763,36.1734,-86.6671,072
2015-02-18_03:11:41,36.1709,-86.6937,36.1797,-86.6925,45e
2015-02-26_13:56:36,36.1677,-86.7338,36.1565,-86.7171,46a
2015-02-14_09:04:49,36.1678,-86.683,36.1722,-86.6867,79a
2015-02-14_07:11:04,36.1647,-86.752,36.1633,-86.7003,d96
2015-02-14_03:34:48,36.1651,-86.7121,36.1609,-86.7567,e4c
2015-02-28_05:50:57,36.1558,-86.7113,36.1603,-86.7646,4a4
2015-02-08_01:27:25,36.1656,-86.7049,36.1758,-86.6771,234
2015-02-28_07:34:13,36.1838,-86.6838,36.1927,-86.6591,6f4
2015-02-20_23:43:08,36.1604,-86.7554,36.17,-86.743,1e0
2015-02-04_14:22:13,36.1614,-86.7094,36.1665,-86.6863,5aa
2015-02-27_05:51:11,36.1725,-86.6912,36.1672,-86.6834,8e6
2015-02-01_01:10:52,36.1759,-86.6777,36.179,-86.6621,000
2015-02-05_17:18:33,36.1592,-86.6713,36.1675,-86.7045,a3e
2015-02-14_06:47:59,36.156,-86.7303,36.1665,-86.7442,70e
2015-02-21_04:55:05,36.1695,-86.6856,36.1763,-86.6774,c76
2015-02-09_18:37:43,36.1767,-86.7503,36.1674,-86.7049,3c2
2015-02-13_01:20:34,36.1708,-86.6789,36.1675,-86.6855,67c
2015-02-09_14:54:21,36.176,-86.758,36.1674,-86.746,dc2
2015-02-27_04:17:55,36.1558,-86.7115,36.1662,-86.6989,cfe
2015-02-07_04:56:31,36.1557,-86.7114,36.1699,-86.7485,ff8
2015-02-06_21:21:10,36.1668,-86.7474,36.1876,-86.7819,070
2015-02-14_19:03:06,36.1619,-86.7457,36.1641,-86.751,f62
2015-02-21_00:57:34,36.1712,-86.6936,36.18,-86.6578,c00
2015-02-19_19:02:33,36.1762,-86.6768,36.1693,-86.6994,526
2015-02-25_21:45:56,36.1701,-86.6909,36.1625,-86.7095,254
2015-02-01_05:45:29,36.1497,-86.7291,36.1624,-86.7374,6d0
2015-02-08_18:12:06,36.1776,-86.674,36.1694,-86.6908,d20
2015-02-14_06:16:05,36.1783,-86.6984,36.1679,-86.7023,198
2015-02-15_01:27:38,36.179,-86.6674,36.1736,-86.738,70c
2015-02-07_00:32:31,36.1692,-86.7506,36.1726,-86.7737,3c2
2015-02-02_03:05:18,36.1698,-86.745,36.1668,-86.757,cc8
2015-02-07_06:53:00,36.1765,-86.6776,36.1692,-86.7503,fd4
2015-02-28_15:36:20,36.1657,-86.7002,36.1897,-86.6977,87e
2015-02-02_03:57:28,36.17,-86.7431,36.152,-86.7605,340
2015-02-12_15:13:20,36.1682,-86.7491,36.1492,-86.8031,39e
2015-02-13_00:19:52,36.1579,-86.6706,36.1691,-86.7482,b8e
2015-02-15_05:24:24,36.1693,-86.6959,36.1739,-86.6975,e1c
2015-02-25_21:47:52,36.1631,-86.7467,36.1659,-86.7416,8d2
2015-02-01_03:27:45,36.1616,-86.737,36.1548,-86.7151,c80
2015-02-19_19:21:24,36.1732,-86.7517,36.1675,-86.748,006
2015-02-08_07:21:45,36.1748,-86.7348,36.1808,-86.6954,e08
2015-02-19_22:56:39,36.1675,-86.7521,36.1691,-86.7452,35a
2015-02-07_18:01:04,36.1649,-86.704,36.1551,-86.713,afc
2015-02-10_19:22:34,36.185,-86.6643,36.1776,-86.6821,084
2015-02-15_07:39:24,36.1517,-86.735,36.1554,-86.7466,92c
2015-02-18_22:27:53,36.1999,-86.6997,36.1929,-86.707,3de
2015-02-02_17:47:03,36.1799,-86.6634,36.1709,-86.6987,382
2015-02-24_01:19:48,36.1642,-86.6654,36.175,-86.6952,7f0
2015-02-28_07:48:36,36.1745,-86.6734,36.1673,-86.6909,95a
2015-02-06_13:43:37,36.1656,-86.6975,36.1604,-86.7078,494
2015-02-08_04:41:46,36.1549,-86.7245,36.1558,-86.7368,8a4
2015-02-07_21:41:03,36.1872,-86.6827,36.2018,-86.7004,a10
2015-02-27_04:50:16,36.1754,-86.6963,36.1957,-86.7068,3c6
2015-02-14_01:02:51,36.1557,-86.7253,36.154,-86.7352,de6
2015-02-21_05:39:32,36.1753,-86.6766,36.1681,-86.6825,3ae
2015-02-11_04:33:17,36.1809,-86.6733,36.179,-86.6893,a2a
2015-02-25_06:17:34,36.1709,-86.6937,36.1557,-86.6663,488
2015-02-01_06:44:49,36.1558,-86.7371,36.1626,-86.7375,42c
2015-02-21_06:25:01,36.1699,-86.7454,36.1763,-86.7335,8a8
2015-02-13_23:43:16,36.1625,-86.6996,36.1663,-86.6987,44e
2015-02-06_03:19:02,36.1695,-86.7444,36.1559,-86.7311,784
2015-02-28_06:23:51,36.1749,-86.6975,36.1706,-86.7068,7a0
2015-02-06_05:42:12,36.1677,-86.7031,36.1706,-86.707,464
2015-02-26_21:55:13,36.1632,-86.6652,36.1533,-86.6554,33a
2015-02-22_00:17:33,36.1762,-86.6954,36.1642,-86.7031,2e2
2015-02-20_01:12:37,36.1736,-86.6906,36.1839,-86.6678,126
2015-02-17_23:56:02,36.1828,-86.6712,36.1709,-86.6869,1da
2015-02-15_03:29:50,36.1554,-86.7388,36.1557,-86.7261,af4
2015-02-07_06:46:21,36.167,-86.7346,36.1745,-86.6761,800
2015-02-07_18:41:22,36.1489,-86.6739,36.1698,-86.7045,f16
2015-02-06_05:06:21,36.156,-86.7325,36.1676,-86.7029,8ec
2015-02-16_13:45:51,36.1683,-86.7494,36.17,-86.6878,682
2015-02-08_20:54:52,36.1856,-86.6687,36.1835,-86.6924,f0c
2015-02-14_02:21:47,36.1637,-86.702,36.1554,-86.7113,8ea
2015-02-06_01:40:01,36.1899,-86.6975,36.1712,-86.7299,1dc
2015-02-26_02:32:24,36.1635,-86.6653,36.1792,-86.7126,7e2
2015-02-06_23:45:10,36.1675,-86.753,36.1772,-86.7302,022
2015-02-26_00:15:22,36.1592,-86.7668,36.169,-86.7454,0b6
2015-02-11_17:36:14,36.1664,-86.7037,36.155,-86.7124,9c0
2015-02-20_15:26:13,36.1828,-86.7679,36.1791,-86.7511,ae0
2015-02-21_04:51:35,36.1559,-86.7343,36.161,-86.7569,6ca
2015-02-13_22:48:04,36.1645,-86.7477,36.1851,-86.6642,99a
2015-02-20_02:25:03,36.1672,-86.6984,36.1675,-86.7524,13a
2015-02-15_21:22:05,36.1678,-86.7032,36.1671,-86.7514,fcc
2015-02-02_23:46:18,36.1761,-86.6773,36.1649,-86.7389,784
2015-02-24_01:56:32,36.1707,-86.6993,36.1649,-86.7017,94c
2015-02-15_02:28:08,36.1529,-86.7346,36.178,-86.7769,aee
2015-02-02_02:09:37,36.1549,-86.7271,36.1506,-86.7122,d42
2015-02-28_02:58:41,36.1676,-86.703,36.1768,-86.6712,e00
2015-02-10_06:45:17,36.1565,-86.7309,36.1683,-86.7013,ce8
2015-02-02_05:29:58,36.17,-86.743,36.1709,-86.7088,7fe
2015-02-15_02:50:42,36.1683,-86.751,36.1762,-86.677,594
2015-02-22_23:35:24,36.1604,-86.6605,36.1557,-86.7113,f9e
2015-02-14_01:28:55,36.1529,-86.7661,36.1936,-86.7066,30c
2015-02-18_21:43:04,36.1758,-86.6781,36.17,-86.6867,d9a
2015-02-08_05:08:24,36.1699,-86.7468,36.1791,-86.7302,79c
2015-02-12_22:51:46,36.1802,-86.6634,36.1642,-86.663,300
2015-02-25_03:51:08,36.1643,-86.7641,36.1697,-86.7449,384
2015-02-19_23:07:27,36.1886,-86.7122,36.1617,-86.7068,c10
2015-02-08_03:05:59,36.1625,-86.7374,36.1548,-86.7239,8a4
2015-02-05_13:09:27,36.1679,-86.7536,36.1664,-86.7063,7ca
2015-02-13_05:10:22,36.1678,-86.6833,36.1763,-86.6774,2c2
2015-02-08_13:49:23,36.1776,-86.6695,36.1703,-86.6878,450
2015-02-01_03:02:16,36.1538,-86.6842,36.1633,-86.6652,7ca
2015-02-03_01:37:25,36.1674,-86.6858,36.1782,-86.6715,f2a
2015-02-14_01:30:59,36.1579,-86.76,36.1763,-86.6764,f2a
2015-02-14_02:14:31,36.1643,-86.7,36.1926,-86.7074,7bc
2015-02-20_07:22:33,36.1548,-86.7227,36.1626,-86.7374,470
2015-02-01_01:19:46,36.165,-86.7517,36.1834,-86.6696,e22
2015-02-03_12:35:00,36.1697,-86.7448,36.1677,-86.7446,9b2
2015-02-18_13:42:37,36.1492,-86.7413,36.1764,-86.7315,368
2015-02-20_07:16:05,36.1676,-86.7031,36.1993,-86.6684,134
2015-02-01_03:28:20,36.1625,-86.7367,36.1549,-86.7313,3b2
2015-02-14_04:31:39,36.1896,-86.7097,36.1762,-86.677,fdc
2015-02-08_06:19:08,36.156,-86.7337,36.1521,-86.7266,3c2
2015-02-15_03:04:53,36.1548,-86.716,36.1905,-86.6743,094
2015-02-11_15:11:23,36.1854,-86.6814,36.1854,-86.6814,c52
2015-02-23_21:04:13,36.1671,-86.7052,36.1761,-86.7587,532
2015-02-27_23:21:12,36.1924,-86.7075,36.1695,-86.6907,9be
2015-02-15_20:49:20,36.1812,-86.6567,36.1811,-86.663,b16
2015-02-06_06:43:13,36.1565,-86.7326,36.1625,-86.7375,e10
2015-02-14_04:26:05,36.1757,-86.6981,36.1683,-86.7028,09e
2015-02-15_03:05:00,36.1744,-86.6742,36.1779,-86.687,b0a
2015-02-07_02:29:11,36.1764,-86.6743,36.1555,-86.7203,544
2015-02-15_05:07:21,36.1792,-86.6731,36.2011,-86.7008,304
2015-02-27_13:22:35,36.1679,-86.7481,36.1733,-86.752,e94
2015-02-09_03:45:32,36.1907,-86.688,36.1693,-86.6856,308
2015-02-17_00:21:35,36.1673,-86.6859,36.182,-86.677,c16
2015-02-01_04:27:40,36.1548,-86.7212,36.156,-86.731,2cc
2015-02-10_12:11:59,36.158,-86.6608,36.1625,-86.7037,c04
2015-02-10_21:42:48,36.1678,-86.7548,36.154,-86.7363,2b6
2015-02-20_17:57:52,36.1849,-86.68,36.1757,-86.6923,78e
2015-02-24_16:08:47,36.1674,-86.6575,36.1676,-86.6856,762
2015-02-06_16:58:01,36.1799,-86.6844,36.1631,-86.7014,6d6
2015-02-14_03:48:36,36.153,-86.7398,36.1525,-86.7256,af0
2015-02-22_19:10:54,36.1724,-86.693,36.1811,-86.6792,496
2015-02-11_16:42:32,36.1674,-86.7508,36.1682,-86.7084,41e
2015-02-19_23:01:14,36.1919,-86.7069,36.1649,-86.7441,958
2015-02-28_07:51:18,36.1558,-86.7261,36.1617,-86.7636,f5c
2015-02-15_00:04:52,36.171,-86.687,36.1673,-86.7526,db0
2015-02-27_05:21:33,36.1653,-86.7492,36.1645,-86.6982,830
2015-02-07_23:59:33,36.1942,-86.7058,36.1652,-86.7412,134
2015-02-13_21:04:08,36.1676,-86.6856,36.1764,-86.6758,5e6
2015-02-21_05:33:24,36.156,-86.7376,36.164,-86.737,9dc
2015-02-21_19:19:21,36.1677,-86.6832,36.1754,-86.6789,4fe
2015-02-08_10:16:59,36.1651,-86.7121,36.1712,-86.746,2f0
2015-02-15_15:26:24,36.1792,-86.7523,36.1691,-86.7528,f7a
2015-02-26_06:27:00,36.156,-86.7321,36.1916,-86.7088,c8e
2015-02-23_06:18:53,36.1583,-86.6645,36.1775,-86.6695,450
2015-02-08_04:46:01,36.1558,-86.7115,36.156,-86.7311,9fa
2015-02-28_02:40:03,36.167,-86.752,36.1832,-86.6628,14a
2015-02-20_01:42:54,36.1655,-86.698,36.1827,-86.6792,da2
2015-02-16_00:36:28,36.1633,-86.7391,36.1552,-86.7311,c26
2015-02-07_02:26:26,36.1575,-86.6994,36.1502,-86.749,d46
2015-02-23_18:30:29,36.1592,-86.6713,36.1705,-86.6883,eda
